"","mu1","mu2","choice","reward"
"674",-3,-4,1,-2
"675",-3,-4,1,-4
"676",-3,-4,0,-2
"677",-3,-4,0,-3
"678",-3,-4,0,-4
"679",-3,-4,1,-3
"680",-3,-4,1,-5
"681",9,-5,0,9
"682",9,-5,0,8
"683",9,-5,0,10
"684",9,-5,0,8
"685",9,-5,0,9
"686",9,-5,0,10
"687",9,-5,0,9
"688",9,-5,0,7
"689",9,-5,0,10
"690",9,-5,0,9
"691",9,-4,1,-3
"692",9,-4,0,8
"693",9,-4,0,10
"694",9,-4,0,9
"695",9,-4,0,9
"696",9,-4,0,10
"697",9,-4,0,8
"698",9,-4,0,10
"699",9,-4,0,9
"700",9,-4,0,10
"701",2,6,0,2
"702",2,6,1,4
"703",2,6,1,7
"704",2,6,1,6
"705",2,6,1,6
"706",2,6,1,5
"707",2,6,1,6
"708",2,6,1,7
"709",2,6,1,6
"710",2,6,1,5
"711",13,-8,0,12
"712",13,-8,0,12
"713",13,-8,0,13
"714",13,-8,0,14
"715",13,-8,0,14
"716",13,-8,0,13
"717",13,-8,0,13
"718",13,-8,0,13
"719",13,-8,0,12
"720",13,-8,0,13
"721",-4,2,0,-6
"722",-4,2,1,2
"723",-4,2,1,2
"724",-4,2,1,0
"725",-4,2,1,2
"726",-4,2,0,-4
"727",-4,2,1,3
"728",-4,2,1,1
"729",-4,2,1,0
"730",-4,2,1,2
"731",-1,17,1,18
"732",-1,17,1,16
"733",-1,17,1,17
"734",-1,17,1,17
"735",-1,17,1,17
"736",-1,17,1,17
"737",-1,17,1,16
"738",-1,17,1,19
"739",-1,17,1,19
"740",-1,17,1,18
"741",0,-4,1,-3
"742",0,-4,0,-2
"743",0,-4,0,-1
"744",0,-4,0,-1
"745",0,-4,0,0
"746",0,-4,0,-1
"747",0,-4,0,0
"748",0,-4,0,1
"749",0,-4,0,-1
"750",0,-4,1,-5
"751",24,10,0,23
"752",24,10,0,25
"753",24,10,0,24
"754",24,10,0,23
"755",24,10,0,24
"756",24,10,0,25
"757",24,10,0,24
"758",24,10,0,23
"759",24,10,0,23
"760",24,10,0,23
"761",2,19,0,3
"762",2,19,1,20
"763",2,19,1,21
"764",2,19,1,19
"765",2,19,1,17
"766",2,19,1,20
"767",2,19,1,21
"768",2,19,1,19
"769",2,19,1,19
"770",2,19,1,20
"771",-6,-16,1,-15
"772",-6,-16,0,-6
"773",-6,-16,0,-6
"774",-6,-16,0,-5
"775",-6,-16,0,-6
"776",-6,-16,0,-7
"777",-6,-16,0,-6
"778",-6,-16,0,-6
"779",-6,-16,0,-6
"780",-6,-16,0,-7
"781",6,-16,0,5
"782",6,-16,1,-18
"783",6,-16,0,5
"784",6,-16,0,7
"785",6,-16,0,7
"786",6,-16,0,6
